Ticker,Empresa,Razão Social,Situação Registro,Situação Emissor,Segmento de Listagem,Atividade,Ação,Data da Cotação,Tipo de Ação,Último Preço de Fechamento,Fator de Cotação,Volume Financeiro Transacionado,Último Demonstrativo Financeiro,Setor,Subsetor,Segmento,Participação em Índices,Preço/Lucro,Preço/VPA,Preço/Receita Líquida,Preço/FCO,Preço/FCF,Preço/Ativo Total,Preço/EBIT,Preço/Capital Giro,Preço/NCAV,EV/EBIT,EV/EBITDA,EV/Receita Líquida,EV/FCO,EV/FCF,EV/Ativo Total,Market Cap Empresa,Enterprise Value,Data Demonstração Financeira Atual,Preço Atual da Ação,Data do Preço da Ação,Dividend Yield,Receita Líquida,Resultado Bruto,EBIT,Depreciação e Amortização,EBITDA,Lucro Líquido,Lucro/Ação,Menor Preço 52 semanas,Maior Preço 52 semanas,Variação 2024,Variação 1 ano,Variação 2 anos(total),Variação 2 anos(anual),Variação 3 anos(total),Variação 3 anos(anual),Variação 4 anos(total),Variação 4 anos(anual),Variação 5 anos(total),Variação 5 anos(anual),Volume Diário Médio (3 meses),Retorno s/ Capital Tangível Inicial,Retorno s/ Capital Investido Inicial,Retorno s/ Capital Tangível Inicial Pré-Impostos,Retorno s/ Capital Investido Inicial Pré-Impostos,Retorno s/ Patrimônio Líquido Inicial,Retorno s/ Ativo Inicial,Margem Bruta,Margem Líquida,Margem EBIT,Margem EBITDA,Giro do Ativo Inicial,Alavancagem Financeira,Passivo/Patrimônio Líquido,Dívida Líquida/EBITDA,Caixa e Equivalentes de Caixa,Ativo Total,Dívida de Curto Prazo,Dívida de Longo Prazo,Dívida Bruta,Dívida Líquida,Patrimônio Líquido,Valor Patrimonial da Ação,Ações Ordinárias,Ações Preferenciais,Total,Ações Ordinárias em Tesouraria,Ações Preferenciais em Tesouraria,Total em Tesouraria,Ações Ordinárias (Exceto Tesouraria),Ações Preferenciais (Exceto Tesouraria),Total (Exceto Tesouraria),Fluxo de Caixa Operacional,Fluxo de Caixa de Investimentos,Fluxo de Caixa de Financiamentos,Aumento (Redução) de Caixa e Equivalentes,CAPEX 3 meses,Fluxo de Caixa Livre 3 meses,CAPEX 12 meses,Fluxo de Caixa Livre 12 meses,Receita de Intermediação Financeira,Resultado Bruto de Intermediação Financeira,Receita de Prestação de Serviços,Não existem dados para este código de negociação,Dados existentes para códigos de negociação abaixo:,Sem dados para mostrar,Ordinária,Preferencial,Unit
SANB11,SANTANDER BR,BCO SANTANDER (BRASIL) S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Banco Múltiplo com Carteira Comercial,SANB11,14/10/2024,UNT,"R$ 28,91",1 Ação,"R$ 39,76 M",ITR - 30/06/2024,Financeiro,Intermediários Financeiros,Bancos,"GPTW, IBOVESPA, IBRA, IBRX, ICO2, IDIV, IFNC, ISE, ITAG, MLCX","9,45","0,92","0,83","10,57",,"0,09",,,,,,,,,,"R$ 108,48 B",,30/06/2024,"R$ 28,91",14/10/2024,"5,57%",,,,,,"R$ 3,62 B",,"R$ 25,03","R$ 31,77","-5,91%","11,41%","7,95%","3,89%","-2,68%","-0,90%","15,93%","3,76%","-15,32%","-3,27%","R$ 66,41 M",,,,,"10,18%","1,08%","39,46%","8,75%",,,"0,12","10,15","9,15",,,"R$ 1,19 T",,,,,"R$ 117,27 B","R$ 15,64",3.818.695.000,3.679.836.000,7.498.531.000,19.270.000,19.270.000,38.540.000,3.799.425.000,3.660.566.000,7.459.991.000,"R$ 13,89 B","- R$ 654,37 M","- R$ 4,38 B","R$ 8,85 B",NA,,NA,,"R$ 32,76 B","R$ 13,87 B","R$ 4,32 B",,,,,,
SANB3,SANTANDER BR,BCO SANTANDER (BRASIL) S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Banco Múltiplo com Carteira Comercial,SANB3,14/10/2024,ON,"R$ 13,76",1 Ação,"R$ 1,23 M",ITR - 30/06/2024,Financeiro,Intermediários Financeiros,Bancos,-,"9,00","0,88","0,79","10,06",,"0,09",,,,,,,,,,"R$ 108,48 B",,30/06/2024,"R$ 13,76",14/10/2024,"5,58%",,,,,,"R$ 3,62 B",,"R$ 11,83","R$ 15,07","-5,14%","11,65%","7,29%","3,58%","-1,31%","-0,44%","18,97%","4,44%","-23,27%","-5,16%","R$ 1,25 M",,,,,"10,18%","1,08%","39,46%","8,75%",,,"0,12","10,15","9,15",,,"R$ 1,19 T",,,,,"R$ 117,27 B","R$ 15,64",3.818.695.000,3.679.836.000,7.498.531.000,19.270.000,19.270.000,38.540.000,3.799.425.000,3.660.566.000,7.459.991.000,"R$ 13,89 B","- R$ 654,37 M","- R$ 4,38 B","R$ 8,85 B",NA,,NA,,"R$ 32,76 B","R$ 13,87 B","R$ 4,32 B",,,,,,
SANB4,SANTANDER BR,BCO SANTANDER (BRASIL) S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Banco Múltiplo com Carteira Comercial,SANB4,14/10/2024,PN,"R$ 15,20",1 Ação,"R$ 838,48 mil",ITR - 30/06/2024,Financeiro,Intermediários Financeiros,Bancos,-,"9,94","0,97","0,87","11,11",,"0,10",,,,,,,,,,"R$ 108,48 B",,30/06/2024,"R$ 15,20",14/10/2024,"5,55%",,,,,,"R$ 3,62 B",,"R$ 13,24","R$ 16,70","-6,45%","11,33%","7,24%","3,55%","-3,31%","-1,11%","14,22%","3,38%","-5,48%","-1,12%","R$ 1,36 M",,,,,"10,18%","1,08%","39,46%","8,75%",,,"0,12","10,15","9,15",,,"R$ 1,19 T",,,,,"R$ 117,27 B","R$ 15,64",3.818.695.000,3.679.836.000,7.498.531.000,19.270.000,19.270.000,38.540.000,3.799.425.000,3.660.566.000,7.459.991.000,"R$ 13,89 B","- R$ 654,37 M","- R$ 4,38 B","R$ 8,85 B",NA,,NA,,"R$ 32,76 B","R$ 13,87 B","R$ 4,32 B",,,,,,
SAPR11,SANEPAR,CIA SANEAMENTO DO PARANA - SANEPAR,ATIVO,FASE OPERACIONAL,Nível 2 de Governança Corporativa,EXPLORAÇÃO DE SERVIÇOS PÚBLICOS E DE SISTEMAS PRIVADOS DE ABASTECIMENTO DE ÁGUA. DE COLETA. REMOÇÃO E DESTINAÇÃO FINAL DE EFLUENTES E RESÍDUOS SÓLIDOS DOMÉSTICOS E INDUSTRIAIS E SEUS SUBPRODUTOS.,SAPR11,14/10/2024,UNT,"R$ 27,85",1 Ação,"R$ 32,01 M",ITR - 30/06/2024,Utilidade Pública,Água e Saneamento,Água e Saneamento,"IBRA, IGC, IGCT, ISE, ITAG, SMLL, UTIL","5,55","0,83","1,26","3,25","12,50","0,43","3,50","6,44","-1,02","5,55","4,57","2,00","5,14","19,79","0,68","R$ 8,38 B","R$ 13,33 B",30/06/2024,"R$ 27,85",14/10/2024,"4,90%","R$ 1,66 B","R$ 928,63 M","R$ 506,87 M","- R$ 137,24 M","R$ 644,12 M","R$ 375,60 M","R$ 0,25","R$ 20,71","R$ 32,66","1,16%","23,09%","84,32%","35,71%","72,08%","19,81%","34,63%","7,71%","30,24%","5,42%","R$ 32,80 M","26,27%","11,69%","39,81%","17,71%","16,67%","8,57%","59,03%","22,76%","36,04%","43,79%","0,38","1,94","0,94","1,69","R$ 1,44 B","R$ 19,74 B","R$ 574,25 M","R$ 5,81 B","R$ 6,39 B","R$ 4,95 B","R$ 10,18 B","R$ 6,74",503.735.259,1.007.470.260,1.511.205.519,0,0,0,503.735.259,1.007.470.260,1.511.205.519,"R$ 597,88 M","- R$ 446,75 M","- R$ 625,46 M","- R$ 474,32 M","- R$ 446,75 M","R$ 151,14 M","- R$ 1,92 B","R$ 673,52 M",,,,,,,,,
SAPR3,SANEPAR,CIA SANEAMENTO DO PARANA - SANEPAR,ATIVO,FASE OPERACIONAL,Nível 2 de Governança Corporativa,EXPLORAÇÃO DE SERVIÇOS PÚBLICOS E DE SISTEMAS PRIVADOS DE ABASTECIMENTO DE ÁGUA. DE COLETA. REMOÇÃO E DESTINAÇÃO FINAL DE EFLUENTES E RESÍDUOS SÓLIDOS DOMÉSTICOS E INDUSTRIAIS E SEUS SUBPRODUTOS.,SAPR3,14/10/2024,ON,"R$ 5,34",1 Ação,"R$ 920,52 mil",ITR - 30/06/2024,Utilidade Pública,Água e Saneamento,Água e Saneamento,-,"5,32","0,79","1,21","3,11","11,98","0,41","3,36","6,18","-0,98","5,55","4,57","2,00","5,14","19,79","0,68","R$ 8,38 B","R$ 13,33 B",30/06/2024,"R$ 5,34",14/10/2024,"4,73%","R$ 1,66 B","R$ 928,63 M","R$ 506,87 M","- R$ 137,24 M","R$ 644,12 M","R$ 375,60 M","R$ 0,25","R$ 4,07","R$ 6,08","2,54%","21,20%","85,28%","36,06%","66,71%","18,55%","26,29%","6,01%","19,83%","3,68%","R$ 1,07 M","26,27%","11,69%","39,81%","17,71%","16,67%","8,57%","59,03%","22,76%","36,04%","43,79%","0,38","1,94","0,94","1,69","R$ 1,44 B","R$ 19,74 B","R$ 574,25 M","R$ 5,81 B","R$ 6,39 B","R$ 4,95 B","R$ 10,18 B","R$ 6,74",503.735.259,1.007.470.260,1.511.205.519,0,0,0,503.735.259,1.007.470.260,1.511.205.519,"R$ 597,88 M","- R$ 446,75 M","- R$ 625,46 M","- R$ 474,32 M","- R$ 446,75 M","R$ 151,14 M","- R$ 1,92 B","R$ 673,52 M",,,,,,,,,
SAPR4,SANEPAR,CIA SANEAMENTO DO PARANA - SANEPAR,ATIVO,FASE OPERACIONAL,Nível 2 de Governança Corporativa,EXPLORAÇÃO DE SERVIÇOS PÚBLICOS E DE SISTEMAS PRIVADOS DE ABASTECIMENTO DE ÁGUA. DE COLETA. REMOÇÃO E DESTINAÇÃO FINAL DE EFLUENTES E RESÍDUOS SÓLIDOS DOMÉSTICOS E INDUSTRIAIS E SEUS SUBPRODUTOS.,SAPR4,14/10/2024,PN,"R$ 5,65",1 Ação,"R$ 5,80 M",ITR - 30/06/2024,Utilidade Pública,Água e Saneamento,Água e Saneamento,IDIV,"5,63","0,84","1,28","3,30","12,68","0,43","3,55","6,54","-1,03","5,55","4,57","2,00","5,14","19,79","0,68","R$ 8,38 B","R$ 13,33 B",30/06/2024,"R$ 5,65",14/10/2024,"4,92%","R$ 1,66 B","R$ 928,63 M","R$ 506,87 M","- R$ 137,24 M","R$ 644,12 M","R$ 375,60 M","R$ 0,25","R$ 4,15","R$ 6,57","1,73%","25,74%","82,48%","35,03%","72,60%","19,93%","35,69%","7,92%","33,12%","5,88%","R$ 7,61 M","26,27%","11,69%","39,81%","17,71%","16,67%","8,57%","59,03%","22,76%","36,04%","43,79%","0,38","1,94","0,94","1,69","R$ 1,44 B","R$ 19,74 B","R$ 574,25 M","R$ 5,81 B","R$ 6,39 B","R$ 4,95 B","R$ 10,18 B","R$ 6,74",503.735.259,1.007.470.260,1.511.205.519,0,0,0,503.735.259,1.007.470.260,1.511.205.519,"R$ 597,88 M","- R$ 446,75 M","- R$ 625,46 M","- R$ 474,32 M","- R$ 446,75 M","R$ 151,14 M","- R$ 1,92 B","R$ 673,52 M",,,,,,,,,
SBFG3,GRUPO SBF,GRUPO SBF SA,ATIVO,FASE OPERACIONAL,Novo Mercado,A Companhia tem por objeto social (a) administração de bens próprios; e. (b) a participação. como sócia ou acionista. em outras empresas.,SBFG3,14/10/2024,ON,"R$ 15,01",1 Ação,"R$ 39,56 M",ITR - 30/06/2024,Consumo Cíclico,Comércio,Produtos Diversos,"IBRA, ICON, IGC, IGCT, IGNM, ITAG, SMLL","7,82","1,27","0,51","3,49","3,79","0,44","5,80","1,90","-1,04","9,55","5,77","0,84","5,75","6,24","0,72","R$ 3,66 B","R$ 6,02 B",30/06/2024,"R$ 15,01",14/10/2024,"1,16%","R$ 1,71 B","R$ 852,82 M","R$ 126,33 M","- R$ 99,52 M","R$ 225,85 M","R$ 229,03 M","R$ 0,94","R$ 6,55","R$ 18,51","39,11%","108,96%","-18,08%","-9,48%","-45,05%","-18,08%",-,-,-,-,"R$ 29,17 M","7,82%","8,40%","11,85%","12,73%","20,34%","5,76%","47,72%","6,56%","8,84%","14,65%","0,88","2,89","1,89","2,26","R$ 703,11 M","R$ 8,33 B","R$ 760,07 M","R$ 2,31 B","R$ 3,07 B","R$ 2,36 B","R$ 2,88 B","R$ 11,82",243.737.164,0,243.737.164,0,0,0,243.737.164,0,243.737.164,"R$ 242,03 M","- R$ 54,26 M","R$ 70,73 M","R$ 258,50 M","- R$ 27,11 M","R$ 214,93 M","- R$ 81,99 M","R$ 966,05 M",,,,,,,,,
SBSP3,SABESP,CIA SANEAMENTO BASICO EST SAO PAULO,ATIVO,FASE OPERACIONAL,Novo Mercado,Abastecimento de água. esgotamento sanitário. drenagem e manejo de águas pluviais urbanas. limpeza urbana. manejo de resíduos sólidos e energia.,SBSP3,14/10/2024,ON,"R$ 90,01",1 Ação,"R$ 344,93 M",ITR - 30/06/2024,Utilidade Pública,Água e Saneamento,Água e Saneamento,"IBOVESPA, IBRA, IBRX, IBRX50, IGC, IGCT, IGNM, ITAG, IVBX, MLCX, UTIL","11,07","1,93","1,58","7,67","7,85","0,95","6,02","23,64","-2,03","7,87","5,52","2,07","10,03","10,27","1,24","R$ 61,52 B","R$ 80,49 B",30/06/2024,"R$ 90,01",14/10/2024,"1,60%","R$ 6,75 B","R$ 2,88 B","R$ 2,22 B","- R$ 789,44 M","R$ 3,01 B","R$ 1,21 B","R$ 1,77","R$ 57,35","R$ 99,58","24,42%","49,49%","72,24%","31,19%","145,34%","34,84%","107,87%","20,06%","100,07%","14,86%","R$ 487,43 M",NA,NA,NA,NA,NA,NA,"38,55%","14,29%","26,30%","37,49%",NA,"2,03","1,03","1,30","R$ 2,81 B","R$ 64,68 B","R$ 2,42 B","R$ 19,36 B","R$ 21,78 B","R$ 18,97 B","R$ 31,80 B","R$ 46,52",683.509.869,0,683.509.869,0,0,0,683.509.869,0,683.509.869,"R$ 1,77 B","R$ 676,41 M","- R$ 1,66 B","R$ 790,04 M","- R$ 20,60 M","R$ 1,75 B","- R$ 183,76 M","R$ 7,84 B",,,,,,,,,
SCAR3,SAO CARLOS,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Compra e venda de imóveis prontos ou a construir; locação de bens imóveis; administração de empreendimentos imobiliários próprios ou de terceiros; exercício de outras atividades correlatas; e outros,SCAR3,14/10/2024,ON,"R$ 22,24",1 Ação,"R$ 419,02 mil",ITR - 30/06/2024,Financeiro,Exploração de Imóveis,Exploração de Imóveis,"IGC, IGNM, ITAG","5,19","0,76","1,12","-18,08","-10,93","0,42","3,07","2,58","-1,41","6,11","5,47","2,23","-35,92","-21,72","0,82","R$ 1,28 B","R$ 2,55 B",30/06/2024,"R$ 22,24",14/10/2024,"7,83%","R$ 158,73 M","R$ 59,84 M","R$ 42,23 M","- R$ 12,05 M","R$ 54,28 M","R$ 15,70 M","R$ 0,27","R$ 19,74","R$ 27,22","-14,26%","-1,28%","-5,35%","-2,71%","-37,15%","-14,33%","-37,26%","-10,99%","-32,57%","-7,57%","R$ 330,74 mil","8,30%","8,45%","12,58%","12,81%","16,08%","7,00%","47,37%","21,63%","36,52%","40,81%","0,32","1,84","0,84","2,72","R$ 39,93 M","R$ 3,09 B","R$ 145,77 M","R$ 1,16 B","R$ 1,31 B","R$ 1,27 B","R$ 1,68 B","R$ 29,16",57.737.000,0,57.737.000,343.000,0,343.000,57.394.000,0,57.394.000,"- R$ 25,81 M","R$ 116,95 M","- R$ 165,16 M","- R$ 74,02 M","- R$ 18,38 M","- R$ 114,88 M","- R$ 46,45 M","- R$ 117,49 M",,,,,,,,,
SEER3,SER EDUCA,SER EDUCACIONAL S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Desenvolvimento e a administração de atividades e instituições no setor de educação e outras áreas associadas; administração de bens e negócios próprios; e participação em outras sociedades.,SEER3,14/10/2024,ON,"R$ 5,85",1 Ação,"R$ 2,35 M",ITR - 30/06/2024,Consumo Cíclico,Diversos,Serviços Educacionais,"IBRA, ICON, IGC, IGCT, IGNM, ITAG, SMLL","2.670,29","0,61","0,40","5,04","9,09","0,21","3,11","3,76","-0,36","5,63","2,95","0,72","9,14","16,48","0,39","R$ 753,02 M","R$ 1,36 B",30/06/2024,"R$ 5,85",14/10/2024,"0,00%","R$ 532,28 M","R$ 296,30 M","R$ 102,04 M","- R$ 56,25 M","R$ 158,29 M","R$ 48,88 M","R$ 0,38","R$ 4,60","R$ 8,65","-20,30%","-8,88%","-20,19%","-10,65%","-54,81%","-23,25%","-60,26%","-20,59%","-72,64%","-22,81%","R$ 2,43 M","9,24%","8,79%","14,01%","13,32%","0,02%","0,01%","53,67%","0,01%","12,87%","24,58%","0,54","2,83","1,83","1,32","R$ 315,85 M","R$ 3,51 B","R$ 279,72 M","R$ 647,58 M","R$ 927,30 M","R$ 611,45 M","R$ 1,24 B","R$ 9,64",128.721.650,0,128.721.650,386.800,0,386.800,128.334.850,0,128.334.850,"R$ 38,88 M","R$ 50,27 M","R$ 85,90 M","R$ 175,06 M","- R$ 20,70 M","R$ 18,19 M","- R$ 66,49 M","R$ 82,80 M",,,,,,,,,
SEQL3,SEQUOIA LOG,SEQUOIA LOGISTICA E TRANSPORTES S.A,ATIVO,FASE OPERACIONAL,Novo Mercado,Logística.transporte rodoviário de cargas em geral. municipal. intermunicipal. estadual e interestadual. serviços de entrega rápida e carga e descarga. dentre outros.,SEQL3,14/10/2024,ON,"R$ 4,07",1 Ação,"R$ 5,33 M",ITR - 30/06/2024,Bens Industriais,Serviços,Serviços Diversos,"IBRA, IGC, IGCT, IGNM, ITAG, SMLL","-0,11","0,16","0,15","-0,84","-0,83","0,05","-0,14","-0,23","-0,05","-0,91","-1,17","1,00","-5,52","-5,50","0,31","R$ 92,49 M","R$ 610,57 M",30/06/2024,"R$ 4,07",14/10/2024,"0,00%","R$ 243,41 M","R$ 11,83 M","- R$ 56,60 M","- R$ 38,65 M","- R$ 17,95 M","- R$ 118,80 M","- R$ 5,93","R$ 3,86","R$ 15,80","-74,24%","-54,78%","-96,49%","-81,23%","-98,82%","-77,20%","-98,36%","-64,18%",-,-,"R$ 6,18 M","-86,85%","-34,58%","-131,59%","-52,39%","-224,52%","-43,01%","-11,52%","-133,66%","-109,97%","-85,93%","0,32","3,36","2,36","-0,99","R$ 44,20 M","R$ 1,99 B","R$ 259,75 M","R$ 302,53 M","R$ 562,28 M","R$ 518,08 M","R$ 593,88 M","R$ 29,64",20.039.539,0,20.039.539,0,0,0,20.039.539,0,20.039.539,"R$ 25,92 M","- R$ 20,00 mil","- R$ 4,64 M","R$ 21,27 M","- R$ 20,00 mil","R$ 25,90 M","- R$ 432,00 mil","- R$ 111,08 M",,,,,,,,,
SHOW3,TIME FOR FUN,T4F ENTRETENIMENTO S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Atuação no setor de entretenimento ao vivo. através da operação de casas de espetáculos e de bilheterias. da comercialização de alimentos. bebidas e produtos promocionais e da negociação de patrocínio,SHOW3,14/10/2024,ON,"R$ 0,97",1 Ação,"R$ 111,69 mil",ITR - 30/06/2024,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,"IGC, IGNM, ITAG","2.615,61","0,40","0,13","1,97","2,14","0,15","1,97","2,39","-0,25","1,81","1,58","0,12","1,81","1,97","0,13","R$ 65,39 M","R$ 60,02 M",30/06/2024,"R$ 0,97",14/10/2024,"0,00%","R$ 55,13 M","- R$ 2,30 M","- R$ 8,70 M","- R$ 1,37 M","- R$ 7,33 M","- R$ 26,09 M","- R$ 0,39","R$ 0,89","R$ 2,90","-53,37%","-57,27%","-68,09%","-43,47%","-78,91%","-40,45%","-64,34%","-22,71%","-82,43%","-29,35%","R$ 261,97 mil","13,61%","12,77%","20,61%","19,34%","0,02%","0,00%","14,41%","0,01%","6,78%","7,77%","0,60","2,73","1,73","-0,14","R$ 85,92 M","R$ 449,38 M","R$ 68,72 M","R$ 11,82 M","R$ 80,55 M","- R$ 5,37 M","R$ 164,58 M","R$ 2,44",67.413.000,0,67.413.000,0,0,0,67.413.000,0,67.413.000,"- R$ 26,24 M","- R$ 398,00 mil","R$ 13,40 M","- R$ 7,06 M","- R$ 398,00 mil","- R$ 26,64 M","- R$ 2,63 M","R$ 30,54 M",,,,,,,,,
SHUL3,SCHULZ,SCHULZ S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Indústria Metalúrgica,SHUL3,12/09/2022,ON,"R$ 27,94",1 Ação,"R$ 2,79 mil",ITR - 30/06/2024,Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros,-,"36,90","7,33","5,22","20,58","24,12","3,86","34,61","8,44","-233,09","21,78","17,65","3,29","12,95","15,18","2,43","R$ 5,53 B","R$ 6,28 B",30/06/2024,"R$ 27,94",12/09/2022,"0,45%","R$ 507,52 M","R$ 139,54 M","R$ 83,82 M","- R$ 17,19 M","R$ 101,01 M","R$ 70,52 M","R$ 0,20","R$ 0,00","R$ 0,00",-,-,"0,00%","0,00%","-50,02%","-43,16%",-,-,-,-,"R$ 0,00","9,96%","10,29%","15,09%","15,60%","22,63%","11,80%","25,16%","14,15%","15,09%","18,61%","0,83","1,90","0,90","2,13","R$ 20,55 M","R$ 2,59 B","R$ 231,20 M","R$ 546,20 M","R$ 777,40 M","R$ 756,85 M","R$ 1,36 B","R$ 3,81",152.692.764,204.682.016,357.374.780,3.036,223.000,226.036,152.689.728,204.459.016,357.148.744,"R$ 130,55 M","- R$ 11,22 M","R$ 50,81 M","R$ 170,14 M","- R$ 11,63 M","R$ 118,92 M","- R$ 71,34 M","R$ 413,91 M",,,,,,,,,
SHUL4,SCHULZ,SCHULZ S.A.,ATIVO,FASE OPERACIONAL,Tradicional - BOVESPA,Indústria Metalúrgica,SHUL4,14/10/2024,PN,"R$ 6,15",1 Ação,"R$ 1,91 M",ITR - 30/06/2024,Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros,-,"8,12","1,61","1,15","4,53","5,31","0,85","7,62","1,86","-51,31","21,78","17,65","3,29","12,95","15,18","2,43","R$ 5,53 B","R$ 6,28 B",30/06/2024,"R$ 6,15",14/10/2024,"7,11%","R$ 507,52 M","R$ 139,54 M","R$ 83,82 M","- R$ 17,19 M","R$ 101,01 M","R$ 70,52 M","R$ 0,20","R$ 5,57","R$ 7,54","-5,92%","-13,10%","48,19%","21,70%","56,01%","15,96%","126,21%","22,62%","256,17%","28,89%","R$ 1,78 M","9,96%","10,29%","15,09%","15,60%","22,63%","11,80%","25,16%","14,15%","15,09%","18,61%","0,83","1,90","0,90","2,13","R$ 20,55 M","R$ 2,59 B","R$ 231,20 M","R$ 546,20 M","R$ 777,40 M","R$ 756,85 M","R$ 1,36 B","R$ 3,81",152.692.764,204.682.016,357.374.780,3.036,223.000,226.036,152.689.728,204.459.016,357.148.744,"R$ 130,55 M","- R$ 11,22 M","R$ 50,81 M","R$ 170,14 M","- R$ 11,63 M","R$ 118,92 M","- R$ 71,34 M","R$ 413,91 M",,,,,,,,,
SIMH3,SIMPAR,SIMPAR S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Participação em outras sociedades empresariais. como sócia ou acionista.,SIMH3,14/10/2024,ON,"R$ 5,20",1 Ação,"R$ 25,24 M",ITR - 30/06/2024,Financeiro,Holdings Diversificadas,Holdings Diversificadas,"IBRA, IGC, IGCT, IGNM, ISE, ITAG, SMLL","-9,51","1,42","0,13","-0,76","-0,62","0,06","0,86","0,64","-0,07","10,27","6,17","1,50","-9,09","-7,42","0,70","R$ 4,54 B","R$ 54,26 B",30/06/2024,"R$ 5,20",14/10/2024,"0,00%","R$ 10,31 B","R$ 2,62 B","R$ 1,75 B","- R$ 920,11 M","R$ 2,67 B","R$ 49,30 M","R$ 0,06","R$ 4,96","R$ 9,82","-42,35%","-32,47%","-47,47%","-27,49%","-58,66%","-25,49%","-16,92%","-4,53%",-,-,"R$ 22,73 M","7,14%","8,26%","10,82%","12,52%","-15,16%","-0,80%","24,65%","-1,32%","14,56%","24,24%","0,60","24,19","23,19","5,65","R$ 2,13 B","R$ 77,11 B","R$ 6,53 B","R$ 45,32 B","R$ 51,85 B","R$ 49,72 B","R$ 3,19 B","R$ 3,65",873.040.533,0,873.040.533,10.961.454,0,10.961.454,862.079.079,0,862.079.079,"R$ 206,67 M","- R$ 600,08 M","R$ 875,23 M","R$ 481,82 M","- R$ 526,41 M","- R$ 319,74 M","- R$ 1,34 B","- R$ 7,31 B",,,,,,,,,
SLCE3,SLC AGRICOLA,SLC AGRICOLA S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,Produção e comercialização de algodão. soja. milho. sementes. engorda de bovinos entre outros.,SLCE3,14/10/2024,ON,"R$ 17,16",1 Ação,"R$ 33,83 M",ITR - 30/06/2024,Consumo não Cíclico,Agropecuária,Agricultura,"AGFS, GPTW, IBOVESPA, IBRA, IBRX, ICO2, ICON, IGC, IGCT, IGNM, ISE, ITAG, SMLL","13,45","1,55","0,94","4,59","6,87","0,49","5,10","2,88","-0,95","7,97","6,85","1,47","7,18","10,75","0,77","R$ 7,61 B","R$ 11,89 B",30/06/2024,"R$ 17,16",14/10/2024,"5,15%","R$ 2,11 B","R$ 831,06 M","R$ 675,16 M","- R$ 65,05 M","R$ 740,21 M","R$ 320,20 M","R$ 0,72","R$ 16,81","R$ 19,38","-2,23%","-3,74%","-2,84%","-1,43%","-0,17%","-0,06%","89,51%","17,32%","191,62%","23,84%","R$ 37,90 M","7,87%","10,86%","11,93%","16,46%","10,68%","3,64%","27,25%","7,01%","18,50%","21,53%","0,52","3,17","2,17","2,47","R$ 1,10 B","R$ 15,54 B","R$ 2,44 B","R$ 2,94 B","R$ 5,39 B","R$ 4,29 B","R$ 4,90 B","R$ 11,04",443.329.716,0,443.329.716,3.489.190,0,3.489.190,439.840.526,0,439.840.526,"R$ 77,81 M","- R$ 277,66 M","- R$ 561,83 M","- R$ 761,68 M","- R$ 274,17 M","- R$ 196,36 M","- R$ 550,70 M","R$ 1,11 B",,,,,,,,,
SMFT3,SMART FIT,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,ATIVO,FASE OPERACIONAL,Novo Mercado,A Companhia tem como atividade preponderante a prestação de serviços de condicionamento físico. por meio de academias de ginástica. musculação. dança e natação.,SMFT3,14/10/2024,ON,"R$ 22,23",1 Ação,"R$ 35,70 M",ITR - 30/06/2024,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,"IBRA, IBRX, ICON, IGC, IGCT, IGNM, ITAG, SMLL","14,81","2,44","2,69","10,29","-41,74","0,81","12,79","9,04","-1,41","16,09","7,14","3,39","12,95","-52,50","1,02","R$ 13,03 B","R$ 16,39 B",30/06/2024,"R$ 22,23",14/10/2024,"0,84%","R$ 1,36 B","R$ 555,52 M","R$ 309,15 M","- R$ 349,14 M","R$ 658,29 M","R$ 93,07 M","R$ 0,16","R$ 18,57","R$ 26,91","-10,12%","10,12%","46,45%","20,98%","-6,09%","-2,07%",-,-,-,-,"R$ 52,37 M","8,32%","10,13%","12,60%","15,35%","19,27%","6,95%","40,74%","18,19%","21,06%","47,44%","0,38","3,00","2,00","1,46","R$ 1,43 B","R$ 16,01 B","R$ 638,22 M","R$ 4,16 B","R$ 4,79 B","R$ 3,36 B","R$ 5,34 B","R$ 9,11",586.242.289,0,586.242.289,0,0,0,586.242.289,0,586.242.289,"R$ 357,06 M","- R$ 411,98 M","R$ 485,88 M","R$ 472,93 M","- R$ 367,13 M","- R$ 10,07 M","- R$ 1,58 B","- R$ 312,24 M",,,,,,,,,
